epoch,lr,lambda_mid,ce,domain,phcl,pl,proxy_reg,total,dpas_cos,gamma_diff,logits_diff
1,5.9999999999999995e-05,1.0,2.573435566212871,1.0985116521910865,0.08860286073943618,0.0,0.00028683606588217147,2.727588398621814,0.9967318997524752,0.0,0.05863303005105198
2,0.00011999999999999999,1.0,2.518354812470993,1.0800940896024798,0.013778185388903217,0.0,0.0002979534268402264,2.633253569650178,0.9887598623143564,0.0,0.11696964679378094
3,0.00017999999999999998,1.0,2.263659184521968,1.0761653072763198,0.04413651768579194,0.0,0.00032630613065638236,2.393344257137563,0.9463422416460396,0.0,0.35505419438428215
4,0.00023999999999999998,1.0,2.0595749203521425,1.0566772122194272,0.06430163417970484,0.0,0.00034491739715311197,2.197393762003077,0.8995494275990099,0.0,0.5940038095606436
5,0.0003,1.0,1.9795396587636211,1.058193845914142,0.1489206671272174,0.0,0.00022664539646218983,2.1598197127332783,0.835470973855198,0.0,0.658558458384901
6,0.0002999998330339906,1.0,1.7368942747021665,1.0058499438927906,0.1278280527838091,0.0,0.0001962084785947521,1.9013935776040105,0.6998593169863861,0.0,0.8786040957611386
7,0.00029999933213633776,1.0,1.6629362177140643,1.009101135895984,0.16931828178723554,0.0,0.00013175808293237765,1.848505701168929,0.7128604095761139,7.368786500232055e-05,0.9707804764851485
8,0.000299998497308168,1.0,1.5296640856431263,1.000731354892844,0.1766637338067193,0.0,8.752271976773766e-05,1.7180692370575252,0.7712571550123762,0.0009669785452361154,1.0802473313737624
9,0.0002999973285513585,1.0,1.350303004283716,0.9732576230965039,0.1471571654892794,0.0,8.985332101249219e-05,1.521207599356623,0.7076878311610458,0.002125617301109994,1.2710347694925743
10,0.0002999958258685375,1.0,1.3416442528809651,0.9703328237675204,0.14017349933412407,0.0,0.00010013976681857637,1.5087644286675028,0.7704183748452971,0.0034728663982731283,1.2786200495049505
11,0.000299993989263084,1.0,1.331108548853657,0.9603388935032457,0.13131486282379615,0.0,0.00011155978924338936,1.4928000545737767,0.7555741413985149,0.00683414345920676,1.3435324489480198
12,0.0002999918187391281,1.0,1.2532024082570974,0.9410528776669266,0.11607955420150025,0.0,0.00012236581046231053,1.4053478789801646,0.7713127513923267,0.009703154611115409,1.3739654238861385
13,0.00029998931430155046,1.0,1.2090964984185626,0.9267656319212205,0.1107113900972475,0.0,0.0001408210553581559,1.3571293058961924,0.7167436958539604,0.01814659043113784,1.4471689356435644
14,0.00029998647595598304,1.0,1.186423145898498,0.885755191935171,0.12328052886365222,0.0,0.00015479412637558758,1.3366397884812686,0.7116940942141089,0.04201046783145111,1.474232286509901
